on,-22,32,-14,30,-17,31
on,-4,46,-21,23,-37,8
on,-49,0,-27,19,-11,42
on,-31,15,-5,46,-44,8
on,-13,38,-42,6,-48,6
on,-31,19,-13,31,-33,21
on,-42,2,-46,-2,-38,16
on,-39,5,-11,36,-24,24
on,-28,23,-26,24,-42,11
on,-26,27,-16,34,-13,36
off,-10,-1,22,35,0,13
on,-33,17,-35,19,-15,35
off,5,20,28,40,-19,-6
on,-33,11,-3,46,-24,21
off,19,28,36,49,-30,-19
on,-19,33,-21,32,-6,39
off,-9,7,-30,-21,-31,-14
on,-12,40,-14,38,-19,30
off,-22,-12,-48,-33,25,37
on,-28,18,-23,24,-14,37
on,-88454,-76767,-25440,-11640,-27748,1322
on,-63800,-35390,-42699,-23055,-53580,-40789
on,-49378,-22320,29310,52217,-68342,-37168
on,42129,61973,50539,69619,-18285,-5271
on,38183,68805,-74582,-36391,-35206,-22560
on,55715,83989,-36041,-11394,-39598,-4388
on,-24130,3055,-23490,12236,70765,96298
on,-16702,-2383,-30032,-19554,57781,94950
on,-3,22648,-17296,8429,-97524,-66196
on,57800,79035,-32755,-20229,-21361,2035
on,-64663,-45003,51119,67839,-39329,-20426
on,-86879,-63664,-29483,2376,-17511,917
on,-18452,12418,8090,21339,59767,97693
on,-74788,-63022,-31181,-4135,-55104,-34567
on,-460,20397,-79399,-53010,26609,52940
on,-76979,-49925,-12691,17007,44020,52464
on,37332,53185,62313,69083,-7879,9039
on,2139,32377,-15539,13573,-80647,-76654
on,-37295,-3736,6548,44201,66072,90569
on,-94984,-74748,9526,27861,899,25480
on,-43224,-30630,48652,69720,24956,44512
on,53697,65990,-45123,-18444,-34789,-26896
on,-18456,-7747,70117,80638,-25850,-19531
on,61541,84653,18018,51509,8929,29313
on,238,15748,6654,31913,-96887,-62882
on,64727,82963,13674,39700,-36851,-20759
on,-17347,-2428,-62480,-40504,65147,85025
on,-64303,-38190,62454,79069,-8611,5858
on,-78239,-48889,-45528,-32327,-48391,-19550
on,-37818,-21478,42272,65566,-55774,-52165
on,-31522,4867,23602,36817,59949,92353
on,-18083,7059,-84816,-56766,-57571,-37939
on,52431,79707,-2553,17080,-42747,-32049
on,-37827,-11781,-45813,-29417,-68088,-60947
on,-4968,21509,-4044,5972,68851,86247
on,-28623,205,41906,54807,-66205,-55226
on,-15232,-98,-86655,-64295,21073,37532
on,66601,90692,8660,26049,-38904,-13268
on,-21995,5505,50562,70740,41136,67156
on,-59910,-42170,58687,73827,-24631,7956
on,-63497,-60583,-34715,-25636,31097,51188
on,-92738,-61303,25051,30662,6602,16255
on,8377,29047,-17074,8870,69424,93335
on,13739,28496,35713,39818,-81849,-57081
on,41352,64038,-51138,-41287,-53062,-40227
on,51036,53935,-37781,-17188,49692,68781
on,-43656,-34095,-50455,-38715,-79038,-48370
on,36392,44292,35090,64928,31715,60406
on,3784,17707,45655,61258,64349,82290
on,-78233,-61209,37584,54206,-7228,4744
on,19133,39855,8370,35562,-76400,-51649
on,44940,69069,6980,17695,24148,56135
on,49916,63939,-38666,-17185,51377,71423
on,50416,60332,15771,32060,-67420,-46877
on,-24035,-22523,-56011,-29290,58988,70764
on,-18658,17034,-81665,-72546,-4251,28250
on,-45242,-28048,-67929,-51986,24579,32786
on,29827,58064,26194,31982,-58304,-40216
on,50210,63389,-61068,-38010,-49628,-32224
on,78061,95501,-14872,5137,-23903,-2240
on,-11792,27254,-24383,-9290,56942,90022
on,75509,81773,-23043,-13248,-11188,2679
on,39779,62451,-34729,-17403,-63193,-38463
on,-56516,-20811,-47394,-18785,-65798,-58923
on,-15527,-6785,-86549,-63698,-34131,-14592
on,-65135,-42832,45840,53433,26435,44333
on,-71276,-41790,-67893,-43766,-16337,-968
on,60424,70944,-44795,-25972,12607,25838
on,46362,72434,-4434,12037,-47234,-35883
on,-49165,-29696,-18515,-9626,-81945,-67024
on,21864,32006,64402,76917,17871,32613
on,-52720,-45788,9114,40971,-66103,-41360
on,-87716,-59548,-43592,-26489,3085,15187
